match_id,date,time,team_name,home_away,Player,#,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,ARDWon,ARDLost,ARDWon%
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Matteo Pessina,12.0,CM,24-060,86,1,0,0,3,1,1,0,1,1,0,0,0,3,1,1,50.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Gaetano Castrovilli,7.0,CM,24-123,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Jorginho,8.0,DM,29-182,74,0,0,0,3,2,0,0,0,1,0,0,0,6,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Bryan Cristante,16.0,DM,26-109,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Emerson Palmieri,13.0,LB,26-321,90,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Alessandro Bastoni,23.0,CB,22-068,90,0,0,0,5,0,0,2,0,1,0,0,0,8,6,3,66.7
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Leonardo Bonucci,19.0,CB,34-050,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Francesco Acerbi,15.0,CB,33-130,45,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Rafael Tolói,25.0,RB,30-253,90,0,0,0,2,0,0,2,0,0,0,0,0,7,1,1,50.0
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Gianluigi Donnarumma,21.0,GK,22-115,88,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,Salvatore Sirigu,1.0,GK,34-159,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,h,16 Players,,,,990,1,0,0,16,12,3,13,5,7,0,0,0,56,11,10,52.4
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Aaron Ramsey,10.0,FW,30-176,90,0,0,0,4,2,0,1,1,1,0,0,0,7,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Daniel James,20.0,LW,23-222,73,0,0,0,1,3,0,1,0,0,0,0,0,4,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Harry Wilson,8.0,LW,24-090,17,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Gareth Bale,11.0,RW,31-339,85,0,0,0,0,4,0,0,1,1,0,0,0,1,1,3,25.0
b756c626,"Sunday June 20, 2021",18:00,Italy,a,David Brooks,19.0,RW,23-347,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Joe Allen,7.0,DM,31-098,85,1,0,0,3,2,0,0,1,3,0,0,0,7,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Dylan Levitt,23.0,DM,20-215,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
b756c626,"Sunday June 20, 2021",18:00,Italy,a,Joe Morrell,16.0,DM,24-168,59,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,100.0
